NBI-USA,XPH-USA,IHE-USA
1.7769337,2.6258707,1.5641928
-1.187712,0.89775324,0.4682541
-0.35694242,1.6696334,0.2677679
0.5541682,0.40231943,0.46442747
0.8987069,-0.59986115,-0.19416213
0.045788288,-0.06661415,-0.2702117
0.7572174,0.28947592,0.12054443
-1.2689412,-1.4050484,-1.0721087
-0.6203532,-0.26275516,0.28725863
0.3569007,0.9058714,0.4226923
-1.1157215,-1.2221754,-0.7802963
-0.93119144,-1.1221409,-0.21111369
-0.7063389,-0.40833354,-0.43141246
0.5350828,0.7797241,0.15511513
0.7155895,1.8306136,0.6488323
0.73632,1.0474682,1.1325002
0.5081415,1.9541025,0.93357563
-0.42285323,0.74396133,0.19242764
-0.44733882,0.86585283,0.43530464
0.972867,3.3898354,0.5600691
0.044560432,-0.19061565,0.03863573
0.72933435,1.4258146,0.9754181
-0.6497741,-0.7197678,-0.032508373
0.72351694,0.8956671,0.35227537
-0.5540371,0.7315397,0.11755228
1.104784,1.109457,0.6111264
-1.3961136,-1.6250253,-0.24254918
0.95210075,1.4517665,1.126945
0.75558424,-0.24546385,-0.006622076
-1.009345,-0.46420097,-0.31058192
0.21907091,0.3186345,-0.13856888
0.7500887,1.2155771,0.6910205
0.1514554,-0.41995645,0.39805174
2.5471926,1.0736585,0.8084774
0.85434914,1.2642264,0.8070588
0.26009083,0.3043294,0.39372444
0.56790113,1.0248542,0.26757717
1.8517852,0.9831786,0.6179571
-0.18779635,-0.309515,-0.318259
1.477921,1.4921427,1.5990973
-0.60833097,-0.13071895,-0.29743314
0.09410381,0.18334389,0.17536879
0.41447878,-1.0111451,-0.18585324
-0.41546822,-0.5927801,-0.4490018
2.0056248,1.6238809,0.9955168
0.02244711,0.10488033,0.008571148
-1.0759771,-2.4053276,-0.4993677
-0.004190207,-0.937891,-0.95487833
-0.31404495,-0.05066991,-0.47420263
2.3438573,2.0687938,0.19427538
-0.31202435,-0.05169511,-0.10948777
0.06853342,-0.10328293,-0.054711103
0.4861474,0.8856535,2.0837069
1.4053106,1.3463497,0.814116
-0.15457869,1.2563467,0.73217154
0.05276203,-0.7692337,-0.55375695
0.25666952,0.72134733,0.7110715
1.4206529,-0.0800848,-0.60696006
1.5420556,0.3213644,0.09890795
-0.76346993,-0.968045,-1.4585197
0.7573128,1.3302922,0.46867132
-0.18402934,1.2241602,0.3826499
1.833272,3.9298773,1.8885493
0.3700614,-0.6181538,-0.23551583
1.2483835,2.1820188,1.4921069
1.3418317,0.17256737,0
0.24017096,-0.14359355,-0.16747117
